Epoch: 0, Subepoch: 0, Loss: 0.735137, Valloss: 0.938261, batch_size: 64, acc: 0.578125, valacc: 0.375000
Epoch: 0, Subepoch: 10, Loss: 0.860136, Valloss: 0.860136, batch_size: 64, acc: 0.453125, valacc: 0.453125
Epoch: 0, Subepoch: 20, Loss: 0.813262, Valloss: 0.922636, batch_size: 64, acc: 0.500000, valacc: 0.390625
Epoch: 0, Subepoch: 30, Loss: 0.860137, Valloss: 0.782012, batch_size: 64, acc: 0.453125, valacc: 0.531250
Epoch: 0, Subepoch: 40, Loss: 0.782012, Valloss: 0.828887, batch_size: 64, acc: 0.531250, valacc: 0.484375
Epoch: 0, Subepoch: 50, Loss: 0.828886, Valloss: 0.875761, batch_size: 64, acc: 0.484375, valacc: 0.437500
Epoch: 0, Subepoch: 60, Loss: 0.828887, Valloss: 0.672637, batch_size: 64, acc: 0.484375, valacc: 0.640625
Epoch: 0, Subepoch: 70, Loss: 0.828887, Valloss: 0.805325, batch_size: 63, acc: 0.484375, valacc: 0.507937
Epoch: 0, Subepoch: 80, Loss: 0.844511, Valloss: 0.598976, batch_size: 63, acc: 0.468750, valacc: 0.714286
Epoch: 0, Subepoch: 90, Loss: 0.844511, Valloss: 0.860136, batch_size: 64, acc: 0.468750, valacc: 0.453125
Epoch: 0, Subepoch: 100, Loss: 0.828887, Valloss: 0.837071, batch_size: 63, acc: 0.484375, valacc: 0.476190
Epoch: 0, Subepoch: 110, Loss: 0.766387, Valloss: 0.782012, batch_size: 64, acc: 0.546875, valacc: 0.531250
Epoch: 0, Subepoch: 120, Loss: 0.750762, Valloss: 0.932309, batch_size: 63, acc: 0.562500, valacc: 0.380952
Epoch: 0, Subepoch: 130, Loss: 0.860136, Valloss: 0.672637, batch_size: 64, acc: 0.453125, valacc: 0.640625
Epoch: 0, Subepoch: 140, Loss: 0.907011, Valloss: 0.719512, batch_size: 64, acc: 0.406250, valacc: 0.593750
Epoch: 0, Subepoch: 150, Loss: 0.953886, Valloss: 0.821198, batch_size: 63, acc: 0.359375, valacc: 0.492063
Epoch: 0, Subepoch: 160, Loss: 0.782012, Valloss: 0.782011, batch_size: 64, acc: 0.531250, valacc: 0.531250
Epoch: 0, Subepoch: 170, Loss: 0.766387, Valloss: 0.750762, batch_size: 64, acc: 0.546875, valacc: 0.562500
Epoch: 0, Subepoch: 180, Loss: 0.828887, Valloss: 0.782012, batch_size: 64, acc: 0.484375, valacc: 0.531250
Epoch: 0, Subepoch: 190, Loss: 0.907012, Valloss: 0.797637, batch_size: 64, acc: 0.406250, valacc: 0.515625
Epoch: 0, Subepoch: 200, Loss: 0.860136, Valloss: 0.813261, batch_size: 64, acc: 0.453125, valacc: 0.500000
Epoch: 0, Subepoch: 210, Loss: 0.813261, Valloss: 0.875761, batch_size: 64, acc: 0.500000, valacc: 0.437500
Epoch: 0, Subepoch: 220, Loss: 0.766387, Valloss: 0.797636, batch_size: 64, acc: 0.546875, valacc: 0.515625
Epoch: 0, Subepoch: 230, Loss: 0.750762, Valloss: 0.852944, batch_size: 63, acc: 0.562500, valacc: 0.460317
Epoch: 0, Subepoch: 240, Loss: 0.782012, Valloss: 0.891386, batch_size: 64, acc: 0.531250, valacc: 0.421875
Epoch: 0, Subepoch: 250, Loss: 0.884690, Valloss: 0.782012, batch_size: 64, acc: 0.428571, valacc: 0.531250
Epoch: 0, Subepoch: 260, Loss: 0.757706, Valloss: 0.860136, batch_size: 64, acc: 0.555556, valacc: 0.453125
Epoch: 0, Subepoch: 270, Loss: 0.773579, Valloss: 0.875761, batch_size: 64, acc: 0.539683, valacc: 0.437500
Epoch: 0, Subepoch: 280, Loss: 0.860136, Valloss: 0.813261, batch_size: 64, acc: 0.453125, valacc: 0.500000
Epoch: 0, Subepoch: 290, Loss: 0.782012, Valloss: 0.868817, batch_size: 63, acc: 0.531250, valacc: 0.444444
Epoch: 0, Subepoch: 300, Loss: 0.694214, Valloss: 0.750762, batch_size: 64, acc: 0.619048, valacc: 0.562500
Epoch: 0, Subepoch: 310, Loss: 0.688262, Valloss: 0.922636, batch_size: 64, acc: 0.625000, valacc: 0.390625
Epoch: 0, Subepoch: 320, Loss: 0.782012, Valloss: 0.782012, batch_size: 64, acc: 0.531250, valacc: 0.531250
Epoch: 0, Subepoch: 330, Loss: 0.725960, Valloss: 0.703886, batch_size: 64, acc: 0.587302, valacc: 0.609375
Epoch: 0, Subepoch: 340, Loss: 0.907011, Valloss: 0.789452, batch_size: 63, acc: 0.406250, valacc: 0.523810
Epoch: 0, Subepoch: 350, Loss: 0.868817, Valloss: 0.710087, batch_size: 63, acc: 0.444444, valacc: 0.603175
Epoch: 0, Subepoch: 360, Loss: 0.782012, Valloss: 0.828887, batch_size: 64, acc: 0.531250, valacc: 0.484375
Epoch: 0, Subepoch: 370, Loss: 0.828886, Valloss: 0.907011, batch_size: 64, acc: 0.484375, valacc: 0.406250
Epoch: 0, Subepoch: 380, Loss: 0.969511, Valloss: 0.750762, batch_size: 64, acc: 0.343750, valacc: 0.562500
Epoch: 0, Subepoch: 390, Loss: 0.773579, Valloss: 0.837071, batch_size: 63, acc: 0.539683, valacc: 0.476190
Epoch: 0, Subepoch: 400, Loss: 0.750762, Valloss: 0.797637, batch_size: 64, acc: 0.562500, valacc: 0.515625
Epoch: 0, Subepoch: 410, Loss: 0.875762, Valloss: 0.813261, batch_size: 64, acc: 0.437500, valacc: 0.500000
Epoch: 0, Subepoch: 420, Loss: 0.900563, Valloss: 0.797636, batch_size: 64, acc: 0.412698, valacc: 0.515625
Epoch: 0, Subepoch: 430, Loss: 0.891386, Valloss: 0.813261, batch_size: 64, acc: 0.421875, valacc: 0.500000
Epoch: 0, Subepoch: 440, Loss: 0.688262, Valloss: 0.828886, batch_size: 64, acc: 0.625000, valacc: 0.484375
Epoch: 0, Subepoch: 450, Loss: 0.782012, Valloss: 0.797637, batch_size: 64, acc: 0.531250, valacc: 0.515625
Epoch: 0, Subepoch: 460, Loss: 0.875761, Valloss: 0.797637, batch_size: 64, acc: 0.437500, valacc: 0.515625
Epoch: 0, Subepoch: 470, Loss: 0.860136, Valloss: 0.891386, batch_size: 64, acc: 0.453125, valacc: 0.421875
Epoch: 0, Subepoch: 480, Loss: 0.837071, Valloss: 0.860137, batch_size: 64, acc: 0.476190, valacc: 0.453125
Epoch: 0, Subepoch: 490, Loss: 0.773579, Valloss: 0.844511, batch_size: 64, acc: 0.539683, valacc: 0.468750
Epoch: 0, Subepoch: 500, Loss: 0.875761, Valloss: 0.860137, batch_size: 64, acc: 0.437500, valacc: 0.453125
