Epoch: 0, Subepoch: 290, Loss: 0.548890, Valloss: 0.662042, batch_size: 64, acc: 0.781250, valacc: 0.625000
Epoch: 0, Subepoch: 300, Loss: 0.563078, Valloss: 0.615032, batch_size: 64, acc: 0.765625, valacc: 0.687500
Epoch: 0, Subepoch: 310, Loss: 0.589969, Valloss: 0.724804, batch_size: 63, acc: 0.718750, valacc: 0.587302
Epoch: 0, Subepoch: 320, Loss: 0.542597, Valloss: 0.581932, batch_size: 64, acc: 0.781250, valacc: 0.750000
Epoch: 0, Subepoch: 330, Loss: 0.563700, Valloss: 0.596221, batch_size: 64, acc: 0.734375, valacc: 0.718750
Epoch: 0, Subepoch: 340, Loss: 0.604441, Valloss: 0.595249, batch_size: 64, acc: 0.687500, valacc: 0.750000
Epoch: 0, Subepoch: 350, Loss: 0.654947, Valloss: 0.601164, batch_size: 64, acc: 0.603175, valacc: 0.656250
Epoch: 0, Subepoch: 360, Loss: 0.567872, Valloss: 0.623426, batch_size: 64, acc: 0.718750, valacc: 0.656250
Epoch: 0, Subepoch: 370, Loss: 0.590431, Valloss: 0.631276, batch_size: 64, acc: 0.634921, valacc: 0.640625
Epoch: 0, Subepoch: 380, Loss: 0.607130, Valloss: 0.606470, batch_size: 64, acc: 0.703125, valacc: 0.718750
Epoch: 0, Subepoch: 390, Loss: 0.584045, Valloss: 0.638589, batch_size: 64, acc: 0.730159, valacc: 0.625000
Epoch: 0, Subepoch: 400, Loss: 0.647805, Valloss: 0.645006, batch_size: 64, acc: 0.593750, valacc: 0.671875
Epoch: 0, Subepoch: 410, Loss: 0.600471, Valloss: 0.611891, batch_size: 64, acc: 0.666667, valacc: 0.656250
Epoch: 0, Subepoch: 420, Loss: 0.615554, Valloss: 0.640208, batch_size: 64, acc: 0.656250, valacc: 0.656250
Epoch: 0, Subepoch: 430, Loss: 0.579963, Valloss: 0.568101, batch_size: 64, acc: 0.698413, valacc: 0.750000
Epoch: 0, Subepoch: 440, Loss: 0.645146, Valloss: 0.592808, batch_size: 64, acc: 0.619048, valacc: 0.703125
Epoch: 0, Subepoch: 450, Loss: 0.604515, Valloss: 0.607609, batch_size: 63, acc: 0.671875, valacc: 0.682540
Epoch: 0, Subepoch: 460, Loss: 0.585613, Valloss: 0.627492, batch_size: 64, acc: 0.734375, valacc: 0.718750
Epoch: 0, Subepoch: 470, Loss: 0.580670, Valloss: 0.624088, batch_size: 64, acc: 0.703125, valacc: 0.640625
Epoch: 0, Subepoch: 480, Loss: 0.670073, Valloss: 0.609931, batch_size: 64, acc: 0.578125, valacc: 0.687500
Epoch: 0, Subepoch: 490, Loss: 0.514592, Valloss: 0.645876, batch_size: 64, acc: 0.812500, valacc: 0.656250
Epoch: 0, Subepoch: 500, Loss: 0.589653, Valloss: 0.620175, batch_size: 64, acc: 0.703125, valacc: 0.656250
Epoch: 0, Subepoch: 510, Loss: 0.557682, Valloss: 0.632381, batch_size: 64, acc: 0.812500, valacc: 0.656250
Epoch: 0, Subepoch: 520, Loss: 0.532779, Valloss: 0.662796, batch_size: 64, acc: 0.843750, valacc: 0.625000
Epoch: 0, Subepoch: 530, Loss: 0.604658, Valloss: 0.626285, batch_size: 64, acc: 0.718750, valacc: 0.640625
Epoch: 0, Subepoch: 540, Loss: 0.582351, Valloss: 0.596773, batch_size: 64, acc: 0.718750, valacc: 0.750000
Epoch: 0, Subepoch: 550, Loss: 0.558485, Valloss: 0.596831, batch_size: 64, acc: 0.774194, valacc: 0.703125
Epoch: 0, Subepoch: 560, Loss: 0.601760, Valloss: 0.599899, batch_size: 64, acc: 0.718750, valacc: 0.734375
Epoch: 0, Subepoch: 570, Loss: 0.608844, Valloss: 0.617244, batch_size: 64, acc: 0.730159, valacc: 0.703125
Epoch: 0, Subepoch: 580, Loss: 0.537881, Valloss: 0.672065, batch_size: 64, acc: 0.812500, valacc: 0.593750
Epoch: 0, Subepoch: 590, Loss: 0.570819, Valloss: 0.673044, batch_size: 64, acc: 0.718750, valacc: 0.546875
Epoch: 0, Subepoch: 600, Loss: 0.585952, Valloss: 0.664371, batch_size: 64, acc: 0.714286, valacc: 0.578125
Epoch: 0, Subepoch: 610, Loss: 0.569614, Valloss: 0.590389, batch_size: 63, acc: 0.687500, valacc: 0.746032
